Quadrature no., Integral Value, Percent Error, Run Time (s)
1, 0.0, 100.0%, 0.00045800209045410156s
2, 0.7043259094830925, 4.272183946960972%, 0.0240476131439209s
3, 0.7353621441608531, 0.05392230954361387%, 0.0002925395965576172s
4, 0.735756506760854, 0.00032287507329578093%, 0.00034427642822265625s
5, 0.7357588740610974, 1.1256115902549103e-06%, 0.0004055500030517578s
6, 0.7357588823240082, 2.5655763602578968e-09%, 0.0003170967102050781s
7, 0.7357588823428542, 4.134521730524301e-12%, 0.0007352828979492188s
8, 0.7357588823428858, 1.5089495366877008e-13%, 0.0003330707550048828s
9, 0.7357588823428854, 1.0562646756813907e-13%, 0.0014591217041015625s
10, 0.7357588823428838, 1.2071596293501608e-13%, 0.0003955364227294922s
11, 0.7357588823428846, 1.508949536687701e-14%, 0.0003604888916015625s
12, 0.7357588823428842, 6.035798146750804e-14%, 0.00041365623474121094s
13, 0.7357588823428842, 6.035798146750804e-14%, 0.0004069805145263672s
14, 0.7357588823428852, 7.544747683438504e-14%, 0.0003199577331542969s
15, 0.7357588823428833, 1.8107394440252412e-13%, 0.0006277561187744141s
16, 0.7357588823428847, 0.0%, 0.0004010200500488281s
17, 0.7357588823428843, 4.526848610063103e-14%, 0.0005052089691162109s
18, 0.7357588823428846, 1.508949536687701e-14%, 0.0004591941833496094s
19, 0.735758882342885, 4.526848610063103e-14%, 0.039818763732910156s
20, 0.7357588823428851, 6.035798146750804e-14%, 0.009917020797729492s
