Quadrature no., Integral Value, Percent Error (%), Run Time (s)
1, 0.0, 100.0%, 0.0009660720825195312s
2, 0.7043259094830925, 4.272183946960972%, 0.0008096694946289062s
3, 0.7353621441608531, 0.05392230954361387%, 0.0009534358978271484s
4, 0.735756506760854, 0.00032287507329578093%, 0.0009572505950927734s
5, 0.7357588740610974, 1.1256115902549103e-06%, 0.012970685958862305s
6, 0.7357588823240082, 2.5655763602578968e-09%, 0.0009629726409912109s
7, 0.7357588823428542, 4.134521730524301e-12%, 0.0009489059448242188s
8, 0.7357588823428858, 1.5089495366877008e-13%, 0.0009717941284179688s
9, 0.7357588823428854, 1.0562646756813907e-13%, 0.0015079975128173828s
10, 0.7357588823428838, 1.2071596293501608e-13%, 0.0014562606811523438s
11, 0.7357588823428846, 1.508949536687701e-14%, 0.0014545917510986328s
12, 0.7357588823428842, 6.035798146750804e-14%, 0.001468658447265625s
13, 0.7357588823428842, 6.035798146750804e-14%, 0.0014793872833251953s
14, 0.7357588823428852, 7.544747683438504e-14%, 0.0015201568603515625s
15, 0.7357588823428833, 1.8107394440252412e-13%, 0.0014920234680175781s
16, 0.7357588823428847, 0.0%, 0.0014803409576416016s
17, 0.7357588823428843, 4.526848610063103e-14%, 0.0015017986297607422s
18, 0.7357588823428846, 1.508949536687701e-14%, 0.0014734268188476562s
19, 0.735758882342885, 4.526848610063103e-14%, 0.0014672279357910156s
20, 0.7357588823428851, 6.035798146750804e-14%, 0.001537322998046875s
